2024-08-12 10:35:28,504 | __main__ | INFO | main.py:36 | Starting Dungeon Adventure | Pygame version: 2.5.0
2024-08-12 10:35:28,504 | GameWorld | INFO | game_world.py:25 | Initializing GameWorld
2024-08-12 10:35:29,019 | MainGameController | INFO | main_game_controller.py:88 | Starting game loop
2024-08-12 10:35:29,019 | MainGameController | DEBUG | main_game_controller.py:89 | Initializing game components
2024-08-12 10:35:29,450 | GameWorld | DEBUG | game_world.py:112 | Room transition: Room 1 - Entrance Hall -> Direction.SOUTH
2024-08-12 10:35:29,450 | GameWorld | INFO | game_world.py:126 | Monsters found in room: Room 12
2024-08-12 10:35:29,450 | GameWorld | DEBUG | game_world.py:127 | Monsters: ['Generic Monster', 'Monster Bob']
2024-08-12 10:35:29,450 | GameWorld | INFO | game_world.py:130 | Setting GameState to IN_COMBAT
2024-08-12 10:35:29,450 | MainGameController | DEBUG | game_world.py:133 | Initiating combat
2024-08-12 10:35:29,450 | PyGameView | INFO | main_game_controller.py:75 | Toggling visibility of combat_screen
2024-08-12 10:35:29,450 | PyGameView | INFO | py_game_view.py:104 | Combat screen visibility set to True
2024-08-12 10:35:29,450 | transitions.core | DEBUG | core.py:440 | Executed machine preparation callbacks before conditions.
2024-08-12 10:35:29,450 | transitions.core | DEBUG | core.py:265 | Initiating transition from state idle to state player_turn...
2024-08-12 10:35:29,450 | transitions.core | DEBUG | core.py:269 | Executed callbacks before conditions.
2024-08-12 10:35:29,450 | transitions.core | DEBUG | core.py:275 | Executed callback before transition.
2024-08-12 10:35:29,450 | transitions.core | DEBUG | core.py:135 | Exiting state idle. Processing callbacks...
2024-08-12 10:35:29,450 | transitions.core | INFO | core.py:137 | Finished processing state idle exit callbacks.
2024-08-12 10:35:29,450 | transitions.core | DEBUG | core.py:129 | Entering state player_turn. Processing callbacks...
2024-08-12 10:35:29,451 | transitions.core | INFO | core.py:131 | Finished processing state player_turn enter callbacks.
2024-08-12 10:35:29,451 | dungeon_adventure.combat | INFO | combat_manager.py:85 | Setting up combat
2024-08-12 10:35:29,451 | dungeon_adventure.combat | INFO | combat_manager.py:90 | Determining turn order
2024-08-12 10:35:29,451 | transitions.core | INFO | core.py:1175 | Executed callback 'setup_combat'
2024-08-12 10:35:29,451 | transitions.core | DEBUG | core.py:281 | Executed callback after transition.
2024-08-12 10:35:29,451 | transitions.core | DEBUG | core.py:430 | Executed machine finalize callbacks
2024-08-12 10:35:33,454 | MainGameController | INFO | main_game_controller.py:104 | Quit event received
2024-08-12 10:35:33,457 | MainGameController | INFO | main_game_controller.py:98 | Game loop ended
